Search Term,Year,Author,Title,"Usable? If no, why?",Keystone/Dominant/Other,Sample Date,Location,Evidence,species,Unit to measure abundance,p1,p2,Target of Effect,TargetUnit,t1,t2,cir,cirreversal,ciap_rough__all,ciap_precise__all,ci,ciap,Data Source,Mechanism of Effect,Factor Type: Org/Env/Eco,Proximate Factor,Intermediate Factor,Ultimate Factor,ecosystem type,Ecosystem Size,Size Units,NOTES,Link,Re-checked data,Re-calculate  CI
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,P solubilization guild,% relative abundance,0.5,1.5,,,-0.1111111111,-0.1220680321,-0.1220680321,-0.1220680321,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,no direct ecosystem size but it is located in   four sites within the CCB ussing a  8 m × 8 m sampling unit --> ask matt if there is a way to dettermin this from data given or if it would be worth reaching of t the PI of this paper,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Denitrification,% relative abundance,5.2,6.1,,,-0.01769911504,-0.01773668284,-0.01773668284,-0.01773668284,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Nitrate reduction,% relative abundance,26.3,28,,,-0.006957233477,-0.006959507888,-0.006959507888,-0.006959507888,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Ammonia oxidation,% relative abundance,1.7,1.6,,,0.006734006734,0.006736069091,0.006736069091,0.006736069091,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,N fixation,% relative abundance,11.2,9,,,0.02420242024,0.02429880011,0.02429880011,0.02429880011,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,C fixation,% relative abundance,13.8,12.9,,,0.007490636704,0.007493475644,0.007493475644,0.007493475644,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Temperature stress tolerance guild,% relative abundance,14.4,20.4,,,-0.03831417625,-0.03870074381,-0.03870074381,-0.03870074381,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Salt stress tolerance guild,% relative abundance,27.8,34.4,,,-0.02357984995,-0.0236689493,-0.0236689493,-0.0236689493,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Dessication stress tolerance guild,% relative abundance,13.6,17,,,-0.02469135802,-0.02479372792,-0.02479372792,-0.02479372792,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
Keystone Species,2020,Lopez-Lozano et al.,Bacterial Diversity and Interaction Networks of Agave iechuguilla Rhizosphere differ Significantly from Bulk Soil in the Oligotrophic Basin of Cuatro Cienegas,Yes,Keystone,2016,Cuatro Cienegas Basin,Comparative study,Agave lechuguilla,"presence of individual, yes or no (rhizosphere v bulk soil)",10,1,Spore stress tolerance guild,% relative abundance,6.2,11.6,,,-0.06741573034,-0.06960620067,-0.06960620067,-0.06960620067,Web Plot Digitizer,,Env,seasoality,,Density,desert  ,N/A,N/A,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7378863/,TRUE,TRUE
